x,y,z,p
0,0,0,0.000318352
0,0.1,0,0.000700634
0,0.2,0,0.00108292
0,0.3,0,0.00152936
0,0.4,0,0.00203997
0,0.5,0,0.00255058
0,0.6,0,0.00306305
0,0.7,0,0.00357552
0,0.8,0,0.00408927
0,0.9,0,0.00460432
0,1,0,0.00511937
0,1.1,0,0.0056375
0,1.2,0,0.00615563
0,1.3,0,0.00667543
0,1.4,0,0.00719687
0,1.5,0,0.00771832
0,1.6,0,0.00824299
0,1.7,0,0.00876766
0,1.8,0,0.00929369
0,1.9,0,0.00982106
0,2,0,0.0103484
0,2.1,0,0.0108775
0,2.2,0,0.0114066
0,2.3,0,0.0119358
0,2.4,0,0.0124651
0,2.5,0,0.0129944
0,2.6,0,0.0135217
0,2.7,0,0.0140489
0,2.8,0,0.0145737
0,2.9,0,0.0150961
0,3,0,0.0156184
0,3.1,0,0.0161323
0,3.2,0,0.016646
0,3.3,0,0.0171534
0,3.4,0,0.0176542
0,3.5,0,0.0181551
0,3.6,0,0.0186379
0,3.7,0,0.0191206
0,3.8,0,0.0195914
0,3.9,0,0.0200502
0,4,0,0.0205091
0,4.1,0,0.0209376
0,4.2,0,0.0213661
0,4.3,0,0.0217761
0,4.4,0,0.0221676
0,4.5,0,0.0225592
0,4.6,0,0.0229068
0,4.7,0,0.0232546
0,4.8,0,0.0235707
0,4.9,0,0.0238552
0,5,0,0.0241397
0,5.1,0,0.0244031
0,5.2,0,0.0246665
0,5.3,0,0.0248653
0,5.4,0,0.0250642
0,5.5,0,0.0252119
0,5.6,0,0.0253596
0,5.7,0,0.0254542
0,5.8,0,0.0255488
0,5.9,0,0.0255892
0,6,0,0.0256296
0,6.1,0,0.0256153
0,6.2,0,0.0256011
0,6.3,0,0.0255328
0,6.4,0,0.0254646
0,6.5,0,0.0253437
0,6.6,0,0.0252228
0,6.7,0,0.0250515
0,6.8,0,0.0248801
0,6.9,0,0.0246368
0,7,0,0.0243935
0,7.1,0,0.0241391
0,7.2,0,0.0238848
0,7.3,0,0.0236197
0,7.4,0,0.0232939
0,7.5,0,0.0229682
0,7.6,0,0.0226287
0,7.7,0,0.0222573
0,7.8,0,0.021886
0,7.9,0,0.0214982
0,8,0,0.0210903
0,8.1,0,0.0206825
0,8.2,0,0.020258
0,8.3,0,0.0198225
0,8.4,0,0.0193869
0,8.5,0,0.0189366
0,8.6,0,0.0184814
0,8.7,0,0.0180261
0,8.8,0,0.0175595
0,8.9,0,0.0170917
0,9,0,0.0166235
0,9.1,0,0.016149
0,9.2,0,0.0156745
0,9.3,0,0.0151996
0,9.4,0,0.0147231
0,9.5,0,0.0142467
0,9.6,0,0.0137709
0,9.7,0,0.0132962
0,9.8,0,0.0128215
0,9.9,0,0.012349
0,10,0,0.0118787
0,10.1,0,0.0114084
0,10.2,0,0.0109422
0,10.3,0,0.010478
0,10.4,0,0.0100139
0,10.5,0,0.00955551
0,10.6,0,0.00909852
0,10.7,0,0.00864154
0,10.8,0,0.00819166
0,10.9,0,0.00774215
0,11,0,0.00729338
0,11.1,0,0.00685118
0,11.2,0,0.00640898
0,11.3,0,0.00596846
0,11.4,0,0.00553297
0,11.5,0,0.00509749
0,11.6,0,0.00466431
0,11.7,0,0.00423461
0,11.8,0,0.00380491
0,11.9,0,0.00337774
0,12,0,0.00295264
0,12.1,0,0.00252754
0,12.2,0,0.00210468
0,12.3,0,0.00168279
0,12.4,0,0.0012609
0,12.5,0,0.000929246
0,12.6,0,0.000613515
0,12.7,0,0.000297785
0.1,0,0,0.000191011
0.1,0.1,0,0.000573034
0.1,0.2,0,0.0010189
0.1,0.3,0,0.00152878
0.1,0.4,0,0.00203924
0.1,0.5,0,0.00254977
0.1,0.6,0,0.00306192
0.1,0.7,0,0.00357439
0.1,0.8,0,0.00408799
0.1,0.9,0,0.00460287
0.1,1,0,0.00511803
0.1,1.1,0,0.00563587
0.1,1.2,0,0.00615409
0.1,1.3,0,0.00667386
0.1,1.4,0,0.00719519
0.1,1.5,0,0.0077169
0.1,1.6,0,0.00824146
0.1,1.7,0,0.00876629
0.1,1.8,0,0.00929249
0.1,1.9,0,0.00981989
0.1,2,0,0.0103476
0.1,2.1,0,0.010877
0.1,2.2,0,0.0114063
0.1,2.3,0,0.011936
0.1,2.4,0,0.0124655
0.1,2.5,0,0.0129952
0.1,2.6,0,0.0135233
0.1,2.7,0,0.0140507
0.1,2.8,0,0.0145764
0.1,2.9,0,0.0150994
0.1,3,0,0.015622
0.1,3.1,0,0.0161375
0.1,3.2,0,0.0166514
0.1,3.3,0,0.0171599
0.1,3.4,0,0.0176619
0.1,3.5,0,0.0181627
0.1,3.6,0,0.0186483
0.1,3.7,0,0.0191309
0.1,3.8,0,0.0196032
0.1,3.9,0,0.0200637
0.1,4,0,0.0205218
0.1,4.1,0,0.0209544
0.1,4.2,0,0.0213823
0.1,4.3,0,0.021794
0.1,4.4,0,0.0221878
0.1,4.5,0,0.0225777
0.1,4.6,0,0.0229305
0.1,4.7,0,0.0232771
0.1,4.8,0,0.0236011
0.1,4.9,0,0.0238947
0.1,5,0,0.0241635
0.1,5.1,0,0.0244348
0.1,5.2,0,0.0246921
0.1,5.3,0,0.0248853
0.1,5.4,0,0.0250912
0.1,5.5,0,0.0252328
0.1,5.6,0,0.0253876
0.1,5.7,0,0.0254757
0.1,5.8,0,0.0255775
0.1,5.9,0,0.025611
0.1,6,0,0.0256584
0.1,6.1,0,0.0256371
0.1,6.2,0,0.0256297
0.1,6.3,0,0.0255543
0.1,6.4,0,0.0254924
0.1,6.5,0,0.0253644
0.1,6.6,0,0.0252495
0.1,6.7,0,0.0250712
0.1,6.8,0,0.0249053
0.1,6.9,0,0.0246746
0.1,7,0,0.0244166
0.1,7.1,0,0.0241883
0.1,7.2,0,0.0239294
0.1,7.3,0,0.0236412
0.1,7.4,0,0.0233225
0.1,7.5,0,0.0229923
0.1,7.6,0,0.0226474
0.1,7.7,0,0.0222807
0.1,7.8,0,0.0219042
0.1,7.9,0,0.0215136
0.1,8,0,0.0211085
0.1,8.1,0,0.0206955
0.1,8.2,0,0.0202699
0.1,8.3,0,0.0198358
0.1,8.4,0,0.0193955
0.1,8.5,0,0.018945
0.1,8.6,0,0.0184902
0.1,8.7,0,0.0180311
0.1,8.8,0,0.0175647
0.1,8.9,0,0.0170965
0.1,9,0,0.0166259
0.1,9.1,0,0.0161513
0.1,9.2,0,0.0156763
0.1,9.3,0,0.0152
0.1,9.4,0,0.014723
0.1,9.5,0,0.0142463
0.1,9.6,0,0.0137698
0.1,9.7,0,0.0132943
0.1,9.8,0,0.0128197
0.1,9.9,0,0.0123467
0.1,10,0,0.0118756
0.1,10.1,0,0.0114058
0.1,10.2,0,0.0109389
0.1,10.3,0,0.0104741
0.1,10.4,0,0.010011
0.1,10.5,0,0.00955171
0.1,10.6,0,0.00909439
0.1,10.7,0,0.00863861
0.1,10.8,0,0.00818761
0.1,10.9,0,0.00773818
0.1,11,0,0.00729048
0.1,11.1,0,0.00684717
0.1,11.2,0,0.00640544
0.1,11.3,0,0.00596568
0.1,11.4,0,0.00552937
0.1,11.5,0,0.00509455
0.1,11.6,0,0.00466184
0.1,11.7,0,0.00423162
0.1,11.8,0,0.00380268
0.1,11.9,0,0.00337575
0.1,12,0,0.00295039
0.1,12.1,0,0.00252605
0.1,12.2,0,0.00210335
0.1,12.3,0,0.00168138
0.1,12.4,0,0.00126016
0.1,12.5,0,0.000839898
0.1,12.6,0,0.000493963
0.1,12.7,0,0.000178671
0.2,0,0,6.36704e-05
0.2,0.1,0,0.000509278
0.2,0.2,0,0.00101847
0.2,0.3,0,0.00152835
0.2,0.4,0,0.00203859
0.2,0.5,0,0.00254897
0.2,0.6,0,0.00306112
0.2,0.7,0,0.00357327
0.2,0.8,0,0.00408687
0.2,0.9,0,0.00460169
0.2,1,0,0.00511668
0.2,1.1,0,0.00563461
0.2,1.2,0,0.00615263
0.2,1.3,0,0.0066724
0.2,1.4,0,0.00719388
0.2,1.5,0,0.00771548
0.2,1.6,0,0.00824019
0.2,1.7,0,0.00876506
0.2,1.8,0,0.00929127
0.2,1.9,0,0.00981906
0.2,2,0,0.0103468
0.2,2.1,0,0.0108764
0.2,2.2,0,0.0114061
0.2,2.3,0,0.0119358
0.2,2.4,0,0.012466
0.2,2.5,0,0.0129959
0.2,2.6,0,0.0135242
0.2,2.7,0,0.0140527
0.2,2.8,0,0.0145783
0.2,2.9,0,0.0151022
0.2,3,0,0.0156255
0.2,3.1,0,0.0161411
0.2,3.2,0,0.0166568
0.2,3.3,0,0.0171653
0.2,3.4,0,0.0176683
0.2,3.5,0,0.0181703
0.2,3.6,0,0.0186557
0.2,3.7,0,0.0191409
0.2,3.8,0,0.0196133
0.2,3.9,0,0.0200748
0.2,4,0,0.0205346
0.2,4.1,0,0.0209666
0.2,4.2,0,0.021398
0.2,4.3,0,0.0218097
0.2,4.4,0,0.0222042
0.2,4.5,0,0.0225963
0.2,4.6,0,0.022948
0.2,4.7,0,0.0232985
0.2,4.8,0,0.0236225
0.2,4.9,0,0.0239094
0.2,5,0,0.0241872
0.2,5.1,0,0.024456
0.2,5.2,0,0.0247177
0.2,5.3,0,0.0249148
0.2,5.4,0,0.0251182
0.2,5.5,0,0.0252636
0.2,5.6,0,0.0254157
0.2,5.7,0,0.0255075
0.2,5.8,0,0.0256062
0.2,5.9,0,0.0256433
