x,y,z,p
0,0,0,0.000106793
0,0.1,0,0.00022966
0,0.2,0,0.000352528
0,0.3,0,0.000496451
0,0.4,0,0.000661429
0,0.5,0,0.000826408
0,0.6,0,0.000990187
0,0.7,0,0.00115397
0,0.8,0,0.00131685
0,0.9,0,0.00147884
0,1,0,0.00164083
0,1.1,0,0.00180044
0,1.2,0,0.00196006
0,1.3,0,0.0021182
0,1.4,0,0.00227487
0,1.5,0,0.00243153
0,1.6,0,0.00258465
0,1.7,0,0.00273778
0,1.8,0,0.00288884
0,1.9,0,0.00303783
0,2,0,0.00318682
0,2.1,0,0.0033311
0,2.2,0,0.00347537
0,2.3,0,0.00361699
0,2.4,0,0.00375596
0,2.5,0,0.00389493
0,2.6,0,0.00402801
0,2.7,0,0.00416109
0,2.8,0,0.00429093
0,2.9,0,0.00441754
0,3,0,0.00454415
0,3.1,0,0.00466373
0,3.2,0,0.00478331
0,3.3,0,0.00489909
0,3.4,0,0.00501108
0,3.5,0,0.00512307
0,3.6,0,0.00522695
0,3.7,0,0.00533083
0,3.8,0,0.00543039
0,3.9,0,0.00552565
0,4,0,0.00562092
0,4.1,0,0.00570708
0,4.2,0,0.00579325
0,4.3,0,0.00587465
0,4.4,0,0.00595128
0,4.5,0,0.00602791
0,4.6,0,0.00609459
0,4.7,0,0.00616128
0,4.8,0,0.00621788
0,4.9,0,0.0062644
0,5,0,0.00631092
0,5.1,0,0.00638539
0,5.2,0,0.0064302
0,5.3,0,0.00647074
0,5.4,0,0.00650694
0,5.5,0,0.00653878
0,5.6,0,0.00656624
0,5.7,0,0.00658931
0,5.8,0,0.00660796
0,5.9,0,0.00662219
0,6,0,0.00663201
0,6.1,0,0.00663741
0,6.2,0,0.00663839
0,6.3,0,0.00663498
0,6.4,0,0.00662717
0,6.5,0,0.00661502
0,6.6,0,0.00659852
0,6.7,0,0.00657772
0,6.8,0,0.00655264
0,6.9,0,0.00652336
0,7,0,0.00646906
0,7.1,0,0.00643467
0,7.2,0,0.00640029
0,7.3,0,0.00636314
0,7.4,0,0.00631034
0,7.5,0,0.00625754
0,7.6,0,0.00620146
0,7.7,0,0.0061377
0,7.8,0,0.00607394
0,7.9,0,0.00600552
0,8,0,0.00593142
0,8.1,0,0.00585731
0,8.2,0,0.00577739
0,8.3,0,0.0056936
0,8.4,0,0.00560981
0,8.5,0,0.00551926
0,8.6,0,0.00542646
0,8.7,0,0.00533366
0,8.8,0,0.00523338
0,8.9,0,0.00513227
0,9,0,0.00503079
0,9.1,0,0.00492209
0,9.2,0,0.0048134
0,9.3,0,0.00470333
0,9.4,0,0.00458775
0,9.5,0,0.00447218
0,9.6,0,0.00435445
0,9.7,0,0.0042327
0,9.8,0,0.00411095
0,9.9,0,0.00398644
0,10,0,0.00385919
0,10.1,0,0.00373194
0,10.2,0,0.00360154
0,10.3,0,0.00346944
0,10.4,0,0.00333734
0,10.5,0,0.00320186
0,10.6,0,0.00306554
0,10.7,0,0.00292921
0,10.8,0,0.00278944
0,10.9,0,0.00264949
0,11,0,0.00250923
0,11.1,0,0.00236623
0,11.2,0,0.00222322
0,11.3,0,0.00207959
0,11.4,0,0.00193408
0,11.5,0,0.00178856
0,11.6,0,0.00164225
0,11.7,0,0.00149474
0,11.8,0,0.00134724
0,11.9,0,0.00119892
0,12,0,0.00104993
0,12.1,0,0.00090094
0,12.2,0,0.000751264
0,12.3,0,0.000601293
0,12.4,0,0.000451322
0,12.5,0,0.000333782
0,12.6,0,0.000221965
0,12.7,0,0.000110148
0.1,0,0,8.30612e-05
0.1,0.1,0,0.000206016
0.1,0.2,0,0.000331298
0.1,0.3,0,0.000496725
0.1,0.4,0,0.000661679
0.1,0.5,0,0.000827393
0.1,0.6,0,0.000990604
0.1,0.7,0,0.00115449
0.1,0.8,0,0.00131752
0.1,0.9,0,0.00147941
0.1,1,0,0.00164277
0.1,1.1,0,0.00180118
0.1,1.2,0,0.00196097
0.1,1.3,0,0.00211926
0.1,1.4,0,0.00227577
0.1,1.5,0,0.00243444
0.1,1.6,0,0.00258572
0.1,1.7,0,0.00273908
0.1,1.8,0,0.00289028
0.1,1.9,0,0.00303906
0.1,2,0,0.0031907
0.1,2.1,0,0.00333249
0.1,2.2,0,0.00347706
0.1,2.3,0,0.00361883
0.1,2.4,0,0.00375752
0.1,2.5,0,0.00389977
0.1,2.6,0,0.00402972
0.1,2.7,0,0.00416316
0.1,2.8,0,0.00429315
0.1,2.9,0,0.00441942
0.1,3,0,0.00454992
0.1,3.1,0,0.00466577
0.1,3.2,0,0.00478576
0.1,3.3,0,0.00490168
0.1,3.4,0,0.00501327
0.1,3.5,0,0.0051297
0.1,3.6,0,0.00522928
0.1,3.7,0,0.00533362
0.1,3.8,0,0.00543331
0.1,3.9,0,0.00552812
0.1,4,0,0.00562827
0.1,4.1,0,0.00570967
0.1,4.2,0,0.00579635
0.1,4.3,0,0.00587785
0.1,4.4,0,0.00595399
0.1,4.5,0,0.00603582
0.1,4.6,0,0.0060974
0.1,4.7,0,0.00616462
0.1,4.8,0,0.00622625
0.1,4.9,0,0.0062728
0.1,5,0,0.00631909
0.1,5.1,0,0.00639358
0.1,5.2,0,0.00643843
0.1,5.3,0,0.00647899
0.1,5.4,0,0.00651521
0.1,5.5,0,0.00654706
0.1,5.6,0,0.00657453
0.1,5.7,0,0.00659759
0.1,5.8,0,0.00661624
0.1,5.9,0,0.00663045
0.1,6,0,0.00664025
0.1,6.1,0,0.00664561
0.1,6.2,0,0.00664655
0.1,6.3,0,0.00664309
0.1,6.4,0,0.00663523
0.1,6.5,0,0.00662301
0.1,6.6,0,0.00660644
0.1,6.7,0,0.00658555
0.1,6.8,0,0.00656039
0.1,6.9,0,0.00653101
0.1,7,0,0.00647664
0.1,7.1,0,0.00644277
0.1,7.2,0,0.00640839
0.1,7.3,0,0.00636964
0.1,7.4,0,0.00631391
0.1,7.5,0,0.00626111
0.1,7.6,0,0.00620675
0.1,7.7,0,0.00614108
0.1,7.8,0,0.00607775
0.1,7.9,0,0.00600971
0.1,8,0,0.00593459
0.1,8.1,0,0.00586164
0.1,8.2,0,0.00578053
0.1,8.3,0,0.00569656
0.1,8.4,0,0.00561458
0.1,8.5,0,0.005522
0.1,8.6,0,0.0054292
0.1,8.7,0,0.00533879
0.1,8.8,0,0.0052359
0.1,8.9,0,0.00513479
0.1,9,0,0.00503577
0.1,9.1,0,0.00492438
0.1,9.2,0,0.00481568
0.1,9.3,0,0.00470728
0.1,9.4,0,0.00458982
0.1,9.5,0,0.00447425
0.1,9.6,0,0.00435745
0.1,9.7,0,0.00423454
0.1,9.8,0,0.00411325
0.1,9.9,0,0.00398858
0.1,10,0,0.00386083
0.1,10.1,0,0.00373446
0.1,10.2,0,0.00360297
0.1,10.3,0,0.00347087
0.1,10.4,0,0.00333996
0.1,10.5,0,0.0032031
0.1,10.6,0,0.00306678
0.1,10.7,0,0.00293184
0.1,10.8,0,0.0027905
0.1,10.9,0,0.00265055
0.1,11,0,0.00251133
0.1,11.1,0,0.00236711
0.1,11.2,0,0.0022241
0.1,11.3,0,0.00208103
0.1,11.4,0,0.00193479
0.1,11.5,0,0.00178931
0.1,11.6,0,0.00164315
0.1,11.7,0,0.00149529
0.1,11.8,0,0.00134795
0.1,11.9,0,0.0011994
0.1,12,0,0.00105032
0.1,12.1,0,0.00090152
0.1,12.2,0,0.000751496
0.1,12.3,0,0.000601525
0.1,12.4,0,0.000451665
0.1,12.5,0,0.000309385
0.1,12.6,0,0.000197569
0.1,12.7,0,8.5671e-05
0.2,0,0,5.93294e-05
0.2,0.1,0,0.000182354
0.2,0.2,0,0.000331798
0.2,0.3,0,0.000497226
0.2,0.4,0,0.000662075
0.2,0.5,0,0.000828377
0.2,0.6,0,0.000991135
0.2,0.7,0,0.00115595
0.2,0.8,0,0.00131898
0.2,0.9,0,0.00148027
0.2,1,0,0.00164471
0.2,1.1,0,0.00180216
0.2,1.2,0,0.00196339
0.2,1.3,0,0.00212168
0.2,1.4,0,0.00227707
0.2,1.5,0,0.00243734
0.2,1.6,0,0.00258715
0.2,1.7,0,0.00274247
0.2,1.8,0,0.00289367
0.2,1.9,0,0.00304082
0.2,2,0,0.00319457
0.2,2.1,0,0.00333438
0.2,2.2,0,0.00348142
0.2,2.3,0,0.00362319
0.2,2.4,0,0.00375973
0.2,2.5,0,0.00390461
0.2,2.6,0,0.00403207
0.2,2.7,0,0.00416847
0.2,2.8,0,0.00429846
0.2,2.9,0,0.00442207
0.2,3,0,0.00455569
0.2,3.1,0,0.00466854
0.2,3.2,0,0.00479197
0.2,3.3,0,0.00490789
0.2,3.4,0,0.00501634
0.2,3.5,0,0.00513633
0.2,3.6,0,0.00523246
0.2,3.7,0,0.00534063
0.2,3.8,0,0.00544032
0.2,3.9,0,0.00553156
0.2,4,0,0.00563562
0.2,4.1,0,0.00571321
0.2,4.2,0,0.005804
0.2,4.3,0,0.00588551
0.2,4.4,0,0.00595774
0.2,4.5,0,0.00604373
0.2,4.6,0,0.00610124
0.2,4.7,0,0.00617275
0.2,4.8,0,0.00623438
0.2,4.9,0,0.00628115
0.2,5,0,0.00632727
0.2,5.1,0,0.00640177
0.2,5.2,0,0.00644666
0.2,5.3,0,0.00648725
0.2,5.4,0,0.00652348
0.2,5.5,0,0.00655535
0.2,5.6,0,0.00658282
0.2,5.7,0,0.00660588
0.2,5.8,0,0.00662452
0.2,5.9,0,0.00663872
0.2,6,0,0.00664849
0.2,6.1,0,0.00665382
0.2,6.2,0,0.00665472
0.2,6.3,0,0.00665121
0.2,6.4,0,0.00664329
0.2,6.5,0,0.006631
0.2,6.6,0,0.00661436
0.2,6.7,0,0.00659339
0.2,6.8,0,0.00656814
0.2,6.9,0,0.00653865
0.2,7,0,0.00648421
0.2,7.1,0,0.00645065
0.2,7.2,0,0.00641603
0.2,7.3,0,0.00637704
0.2,7.4,0,0.00631818
0.2,7.5,0,0.00626776
0.2,7.6,0,0.00621377
0.2,7.7,0,0.00614446
0.2,7.8,0,0.00608441
0.2,7.9,0,0.00601637
0.2,8,0,0.00593776
0.2,8.1,0,0.00586795
0.2,8.2,0,0.00578684
0.2,8.3,0,0.0056996
0.2,8.4,0,0.00562053
0.2,8.5,0,0.00552736
0.2,8.6,0,0.00543269
0.2,8.7,0,0.00534438
0.2,8.8,0,0.00524019
0.2,8.9,0,0.00513865
0.2,9,0,0.00504098
0.2,9.1,0,0.00492767
0.2,9.2,0,0.00481985
0.2,9.3,0,0.00471211
0.2,9.4,0,0.00459218
0.2,9.5,0,0.00447862
0.2,9.6,0,0.00436188
0.2,9.7,0,0.00423639
0.2,9.8,0,0.00411727
0.2,9.9,0,0.0039926
0.2,10,0,0.00386247
0.2,10.1,0,0.00373806
0.2,10.2,0,0.00360652
0.2,10.3,0,0.00347249
0.2,10.4,0,0.00334313
0.2,10.5,0,0.00320576
0.2,10.6,0,0.00306853
0.2,10.7,0,0.00293458
0.2,10.8,0,0.0027924
0.2,10.9,0,0.00265234
0.2,11,0,0.00251365
0.2,11.1,0,0.00236837
0.2,11.2,0,0.00222582
0.2,11.3,0,0.00208294
0.2,11.4,0,0.00193553
0.2,11.5,0,0.00179082
0.2,11.6,0,0.00164466
0.2,11.7,0,0.00149584
0.2,11.8,0,0.00134908
0.2,11.9,0,0.00120053
0.2,12,0,0.00105071
0.2,12.1,0,0.00090227
0.2,12.2,0,0.000752192
0.2,12.3,0,0.000601784
0.2,12.4,0,0.000452043
0.2,12.5,0,0.000301288
0.2,12.6,0,0.000173138
0.2,12.7,0,6.11936e-05
0.3,0,0,3.55977e-05
0.3,0.1,0,0.000165866
0.3,0.2,0,0.000332299
0.3,0.3,0,0.000497727
0.3,0.4,0,0.000663135
0.3,0.5,0,0.000829362
0.3,0.6,0,0.000992433
0.3,0.7,0,0.00115742
0.3,0.8,0,0.00132044
0.3,0.9,0,0.00148247
0.3,1,0,0.00164665
0.3,1.1,0,0.00180461
0.3,1.2,0,0.00196582
0.3,1.3,0,0.0021241
0.3,1.4,0,0.00228043
0.3,1.5,0,0.00244025
0.3,1.6,0,0.00259076
0.3,1.7,0,0.00274586
0.3,1.8,0,0.00289706
0.3,1.9,0,0.00304534
0.3,2,0,0.00319845
0.3,2.1,0,0.00333915
0.3,2.2,0,0.00348578
0.3,2.3,0,0.00362755
0.3,2.4,0,0.00376541
0.3,2.5,0,0.00390945
0.3,2.6,0,0.00403798
0.3,2.7,0,0.00417378
0.3,2.8,0,0.00430377
0.3,2.9,0,0.00442887
0.3,3,0,0.00456146
0.3,3.1,0,0.00467557
0.3,3.2,0,0.00479818
0.3,3.3,0,0.0049141
0.3,3.4,0,0.00502417
0.3,3.5,0,0.00514295
0.3,3.6,0,0.00524049
0.3,3.7,0,0.00534764
0.3,3.8,0,0.00544733
0.3,3.9,0,0.00554028
0.3,4,0,0.00564298
0.3,4.1,0,0.00572209
0.3,4.2,0,0.00581165
0.3,4.3,0,0.00589316
0.3,4.4,0,0.00596713
0.3,4.5,0,0.00605164
0.3,4.6,0,0.00611074
0.3,4.7,0,0.00618087
0.3,4.8,0,0.0062425
0.3,4.9,0,0.00628924
0.3,5,0,0.00633544
0.3,5.1,0,0.00640996
0.3,5.2,0,0.00645488
0.3,5.3,0,0.0064955
0.3,5.4,0,0.00653176
0.3,5.5,0,0.00656363
0.3,5.6,0,0.00659111
0.3,5.7,0,0.00661417
0.3,5.8,0,0.0066328
0.3,5.9,0,0.00664698
0.3,6,0,0.00665672
0.3,6.1,0,0.00666202
0.3,6.2,0,0.00666288
0.3,6.3,0,0.00665932
0.3,6.4,0,0.00665135
0.3,6.5,0,0.006639
0.3,6.6,0,0.00662228
0.3,6.7,0,0.00660123
0.3,6.8,0,0.00657589
0.3,6.9,0,0.0065463
0.3,7,0,0.00649179
0.3,7.1,0,0.00645817
0.3,7.2,0,0.00642343
0.3,7.3,0,0.00638445
0.3,7.4,0,0.00632667
0.3,7.5,0,0.00627479
0.3,7.6,0,0.0062208
0.3,7.7,0,0.0061531
0.3,7.8,0,0.00609107
0.3,7.9,0,0.00602303
0.3,8,0,0.00594589
0.3,8.1,0,0.00587426
0.3,8.2,0,0.00579315
0.3,8.3,0,0.00570714
0.3,8.4,0,0.00562648
0.3,8.5,0,0.00553331
0.3,8.6,0,0.00543904
0.3,8.7,0,0.00534997
0.3,8.8,0,0.00524578
0.3,8.9,0,0.00514387
0.3,9,0,0.0050462
0.3,9.1,0,0.00493329
0.3,9.2,0,0.00482468
0.3,9.3,0,0.00471695
0.3,9.4,0,0.00459794
0.3,9.5,0,0.00448305
0.3,9.6,0,0.00436632
0.3,9.7,0,0.00424186
0.3,9.8,0,0.00412129
0.3,9.9,0,0.00399663
0.3,10,0,0.00386731
0.3,10.1,0,0.00374166
0.3,10.2,0,0.00361012
0.3,10.3,0,0.00347652
0.3,10.4,0,0.0033463
0.3,10.5,0,0.00320894
0.3,10.6,0,0.00307158
0.3,10.7,0,0.00293733
0.3,10.8,0,0.00279514
0.3,10.9,0,0.00265466
0.3,11,0,0.00251598
0.3,11.1,0,0.00237093
0.3,11.2,0,0.00222773
